Date : 2026-01-18 13:31:58
Directory : c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src
Total : 362 files,  33777 codes, 2805 comments, 7614 blanks, all 44196 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        174 |     27,836 |      2,805 |      7,566 |     38,207 |
| JSON     |        188 |      5,941 |          0 |         48 |      5,989 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |        362 |     33,777 |      2,805 |      7,614 |     44,196 |
| client                                                                                                                                     |         31 |      4,326 |        409 |      1,292 |      6,027 |
| client\java                                                                                                                                |         30 |      4,315 |        409 |      1,292 |      6,016 |
| client\java\name                                                                                                                           |         30 |      4,315 |        409 |      1,292 |      6,016 |
| client\java\name\kingdoms                                                                                                                  |         30 |      4,315 |        409 |      1,292 |      6,016 |
| client\java\name\kingdoms (Files)                                                                                                          |          6 |      1,312 |        106 |        388 |      1,806 |
| client\java\name\kingdoms\client                                                                                                           |         22 |      2,677 |        279 |        816 |      3,772 |
| client\java\name\kingdoms\mixin                                                                                                            |          1 |         12 |          1 |          2 |         15 |
| client\java\name\kingdoms\mixin\client                                                                                                     |          1 |         12 |          1 |          2 |         15 |
| client\java\name\kingdoms\network                                                                                                          |          1 |        314 |         23 |         86 |        423 |
| client\resources                                                                                                                           |          1 |         11 |          0 |          0 |         11 |
| main                                                                                                                                       |        331 |     29,451 |      2,396 |      6,322 |     38,169 |
| main\java                                                                                                                                  |        144 |     23,521 |      2,396 |      6,274 |     32,191 |
| main\java\name                                                                                                                             |        144 |     23,521 |      2,396 |      6,274 |     32,191 |
| main\java\name\kingdoms                                                                                                                    |        144 |     23,521 |      2,396 |      6,274 |     32,191 |
| main\java\name\kingdoms (Files)                                                                                                            |         29 |      5,984 |        536 |      1,564 |      8,084 |
| main\java\name\kingdoms\blueprint                                                                                                          |         20 |      4,288 |        555 |      1,220 |      6,063 |
| main\java\name\kingdoms\diplomacy                                                                                                          |         24 |      5,284 |        573 |      1,227 |      7,084 |
| main\java\name\kingdoms\entity                                                                                                             |         13 |      2,696 |        260 |        784 |      3,740 |
| main\java\name\kingdoms\entity (Files)                                                                                                     |          5 |      1,640 |        191 |        488 |      2,319 |
| main\java\name\kingdoms\entity\ai                                                                                                          |          8 |      1,056 |         69 |        296 |      1,421 |
| main\java\name\kingdoms\menu                                                                                                               |          1 |         43 |          4 |         19 |         66 |
| main\java\name\kingdoms\network                                                                                                            |          2 |      1,541 |        177 |        419 |      2,137 |
| main\java\name\kingdoms\news                                                                                                               |          1 |        113 |         36 |         42 |        191 |
| main\java\name\kingdoms\payload                                                                                                            |         50 |      1,634 |         48 |        440 |      2,122 |
| main\java\name\kingdoms\sim                                                                                                                |          1 |        266 |         30 |         52 |        348 |
| main\java\name\kingdoms\war                                                                                                                |          3 |      1,672 |        177 |        507 |      2,356 |
| main\resources                                                                                                                             |        187 |      5,930 |          0 |         48 |      5,978 |
| main\resources (Files)                                                                                                                     |          1 |         34 |          0 |          0 |         34 |
| main\resources\assets                                                                                                                      |        144 |        944 |          0 |         44 |        988 |
| main\resources\assets\kingdoms                                                                                                             |        144 |        944 |          0 |         44 |        988 |
| main\resources\assets\kingdoms (Files)                                                                                                     |          1 |         46 |          0 |          1 |         47 |
| main\resources\assets\kingdoms\blockstates                                                                                                 |         23 |        161 |          0 |          0 |        161 |
| main\resources\assets\kingdoms\items                                                                                                       |         48 |        288 |          0 |          0 |        288 |
| main\resources\assets\kingdoms\lang                                                                                                        |          1 |         92 |          0 |         39 |        131 |
| main\resources\assets\kingdoms\models                                                                                                      |         71 |        357 |          0 |          4 |        361 |
| main\resources\assets\kingdoms\models\block                                                                                                |         23 |        138 |          0 |          0 |        138 |
| main\resources\assets\kingdoms\models\item                                                                                                 |         48 |        219 |          0 |          4 |        223 |
| main\resources\data                                                                                                                        |         42 |      4,952 |          0 |          4 |      4,956 |
| main\resources\data\kingdoms                                                                                                               |         41 |      4,946 |          0 |          3 |      4,949 |
| main\resources\data\kingdoms\blueprints                                                                                                    |         18 |      3,013 |          0 |          0 |      3,013 |
| main\resources\data\kingdoms\blueprints\bakery                                                                                             |          1 |         67 |          0 |          0 |         67 |
| main\resources\data\kingdoms\blueprints\castlelarge1                                                                                       |          1 |        531 |          0 |          0 |        531 |
| main\resources\data\kingdoms\blueprints\castlemed1                                                                                         |          1 |        745 |          0 |          0 |        745 |
| main\resources\data\kingdoms\blueprints\castlesmall2                                                                                       |          1 |        295 |          0 |          0 |        295 |
| main\resources\data\kingdoms\blueprints\clocktower                                                                                         |          1 |         59 |          0 |          0 |         59 |
| main\resources\data\kingdoms\blueprints\house1                                                                                             |          1 |         51 |          0 |          0 |         51 |
| main\resources\data\kingdoms\blueprints\house1_1                                                                                           |          1 |         83 |          0 |          0 |         83 |
| main\resources\data\kingdoms\blueprints\house2                                                                                             |          1 |         34 |          0 |          0 |         34 |
| main\resources\data\kingdoms\blueprints\house2_1                                                                                           |          1 |         45 |          0 |          0 |         45 |
| main\resources\data\kingdoms\blueprints\house3_1                                                                                           |          1 |         80 |          0 |          0 |         80 |
| main\resources\data\kingdoms\blueprints\house4_1                                                                                           |          1 |         67 |          0 |          0 |         67 |
| main\resources\data\kingdoms\blueprints\house5_1                                                                                           |          1 |         63 |          0 |          0 |         63 |
| main\resources\data\kingdoms\blueprints\house6_6                                                                                           |          1 |        120 |          0 |          0 |        120 |
| main\resources\data\kingdoms\blueprints\house7_1                                                                                           |          1 |         71 |          0 |          0 |         71 |
| main\resources\data\kingdoms\blueprints\house8_1                                                                                           |          1 |         83 |          0 |          0 |         83 |
| main\resources\data\kingdoms\blueprints\mun_mo_castle                                                                                      |          1 |        526 |          0 |          0 |        526 |
| main\resources\data\kingdoms\blueprints\watermill                                                                                          |          1 |         60 |          0 |          0 |         60 |
| main\resources\data\kingdoms\blueprints\windmill                                                                                           |          1 |         33 |          0 |          0 |         33 |
| main\resources\data\kingdoms\loot_table                                                                                                    |         19 |        361 |          0 |          0 |        361 |
| main\resources\data\kingdoms\loot_table\blocks                                                                                             |         19 |        361 |          0 |          0 |        361 |
| main\resources\data\kingdoms\names                                                                                                         |          1 |      1,507 |          0 |          0 |      1,507 |
| main\resources\data\kingdoms\worldgen                                                                                                      |          3 |         65 |          0 |          3 |         68 |
| main\resources\data\kingdoms\worldgen\structure                                                                                            |          1 |         39 |          0 |          1 |         40 |
| main\resources\data\kingdoms\worldgen\structure_set                                                                                        |          1 |         11 |          0 |          1 |         12 |
| main\resources\data\kingdoms\worldgen\template_pool                                                                                        |          1 |         15 |          0 |          1 |         16 |
| main\resources\data\minecraft                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| main\resources\data\minecraft\tags                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| main\resources\data\minecraft\tags\worldgen                                                                                                |          1 |          6 |          0 |          1 |          7 |
| main\resources\data\minecraft\tags\worldgen\structure_set                                                                                  |          1 |          6 |          0 |          1 |          7 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                   | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\clientEconomyCache.java                           | Java     |         24 |          0 |          3 |         27 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientEconomyView.java                     | Java     |         26 |          2 |          6 |         34 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientMailCache.java                       | Java     |         22 |          0 |          8 |         30 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientMailPolicyCache.java                 | Java     |         21 |          0 |          8 |         29 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientMailRecipientsCache.java             | Java     |         15 |          0 |          7 |         22 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientNewsCache.java                       | Java     |         12 |          0 |          6 |         18 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientWarBattleStatus.java                 | Java     |         38 |          5 |          9 |         52 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\KingdomTransitionHUD.java                  | Java     |         45 |          3 |         19 |         67 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ScribeLines.java                           | Java     |         58 |          1 |         13 |         72 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\SoldierRenderer.java                       | Java     |         55 |         10 |         15 |         80 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarBattleHUD.java                          | Java     |         84 |          7 |         19 |        110 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarCommandClientHooks.java                 | Java     |         65 |          6 |         17 |         88 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarOverviewScreen.java                     | Java     |         87 |          6 |         32 |        125 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\aiKingdomEntityRenderer.java               | Java     |         35 |          1 |         13 |         49 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\aiKingdomNPCRenderer.java                  | Java     |         39 |          7 |         11 |         57 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\borderWandClient.java                      | Java     |        107 |         18 |         38 |        163 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\clientHoverCardCache.java                  | Java     |         21 |          0 |          9 |         30 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\clientProxyImpl.java                       | Java     |         12 |          0 |          5 |         17 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\diploScreen.java                           | Java     |        322 |         22 |         96 |        440 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\kingdomBordersMapScreen.java               | Java     |        584 |        110 |        186 |        880 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\kingdomWorkerRenderer.java                 | Java     |         39 |          2 |         12 |         53 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\mailScreen.java                            | Java     |        972 |         75 |        282 |      1,329 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\warCommandClientState.java                 | Java     |         18 |          4 |          5 |         27 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\jobRequirementsScreen.java                        | Java     |        355 |         25 |        104 |        484 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomEconomyScreen.java                         | Java     |         56 |          1 |         16 |         73 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomMenuScreen.java                            | Java     |        201 |          7 |         58 |        266 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomsClient.java                               | Java     |        162 |         16 |         55 |        233 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\mixin\client\ExampleClientMixin.java              | Java     |         12 |          1 |          2 |         15 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\network\clientNetworkInit.java                    | Java     |        314 |         23 |         86 |        423 |
